87.33	25.51	0
87.4471257946	25.7084769412	25
87.5646428301	25.9068599872	50
87.6825557138	26.105147987	75
87.800869095	26.3033397779	100
87.9195876657	26.5014341851	125
88.0387161611	26.6994300219	150
88.1582593606	26.8973260891	175
88.278222088	27.0951211749	200
88.3986092122	27.292814055	225
88.5194256478	27.4904034919	250
88.6406763559	27.6878882352	275
88.7623663445	27.8852670209	300
88.8845006695	28.0825385719	325
89.0070844347	28.2797015968	350
89.1301227932	28.4767547907	375
89.2536209475	28.6736968343	400
89.3775841507	28.8705263938	425
89.5020177065	29.067242121	450
89.6269269704	29.2638426528	475
89.7523173505	29.4603266108	500
89.8781943075	29.6566926016	525
90.0045633562	29.852939216	550
90.1314300657	30.049065029	575
90.2588000604	30.2450685998	600
90.3866790207	30.440948471	625
90.5150726835	30.6367031688	650
90.6439868433	30.8323312026	675
90.7734273526	31.0278310646	700
90.9034001229	31.22320123	725
91.0339111257	31.418440156	750
91.1649663926	31.613546282	775
91.2965720167	31.8085180295	800
91.4287341532	32.0033538012	825
91.5614590201	32.1980519814	850
91.6947528993	32.3926109351	875
91.828622137	32.5870290082	900
91.963073145	32.7813045268	925
92.098112401	32.9754357971	950
92.2337464502	33.1694211053	975
92.3699819053	33.3632587167	1000
92.506825448	33.5569468758	1025
92.6442838295	33.7504838062	1050
92.7823638718	33.9438677095	1075
92.921072468	34.1370967658	1100
93.0604165837	34.3301691328	1125
93.2004032577	34.5230829456	1150
93.341039603	34.7158363166	1175
93.4823328075	34.9084273346	1200
93.6242901352	35.1008540651	1225
93.766918927	35.2931145494	1250
93.9102266017	35.4852068043	1275
94.0542206569	35.677128822	1300
94.1989086701	35.8688785696	1325
94.3442982993	36.0604539884	1350
94.4903972846	36.2518529939	1375
94.6372134484	36.4430734752	1400
94.784754697	36.6341132947	1425
94.9330290216	36.8249702874	1450
95.0820444989	37.0156422608	1475
95.2318092921	37.2061269944	1500
95.3823316526	37.3964222389	1525
95.5336199203	37.5865257165	1550
95.6856825248	37.7764351195	1575
95.8385279867	37.9661481107	1600
95.9921649183	38.1556623223	1625
96.1466020249	38.3449753559	1650
96.3018481057	38.5340847815	1675
96.457912055	38.7229881376	1700
96.6148028629	38.9116829301	1725
96.772529617	39.1001666323	1750
96.9311015026	39.2884366841	1775
97.0905278047	39.4764904916	1800
97.23	39.64	1821.76073807
