76.24	28.14	0
76.276028456	28.3170408182	20
76.3121770804	28.4940721442	40
76.3484471624	28.6710938758	60
76.3848400047	28.8481059095	80
76.4213569227	29.0251081409	100
76.4579992459	29.2021004644	120
76.4947683171	29.3790827732	140
76.5316654932	29.5560549597	160
76.5686921449	29.7330169149	180
76.6058496577	29.9099685288	200
76.6431394314	30.08690969	220
76.6805628804	30.2638402863	240
76.7181214344	30.440760204	260
76.7558165382	30.6176693281	280
76.7936496519	30.7945675427	300
76.8316222515	30.9714547304	320
76.869735829	31.1483307725	340
76.9079918922	31.3251955491	360
76.9463919658	31.502048939	380
76.9849375908	31.6788908195	400
77.0236303253	31.8557210666	420
77.0624717446	32.0325395551	440
77.1014634415	32.2093461582	460
77.1406070264	32.3861407476	480
77.1799041278	32.5629231938	500
77.2193563926	32.7396933656	520
77.2589654862	32.9164511304	540
77.2987330927	33.0931963542	560
77.3386609156	33.2699289011	580
77.3787506779	33.446648634	600
77.4190041222	33.6233554141	620
77.4594230112	33.8000491008	640
77.5000091282	33.9767295521	660
77.5407642771	34.1533966242	680
77.5816902828	34.3300501716	700
77.6227889917	34.5066900471	720
77.6640622719	34.6833161018	740
77.7055120138	34.8599281848	760
77.7471401298	35.0365261437	780
77.7889485555	35.2131098239	800
77.8309392496	35.3896790694	820
77.8731141941	35.5662337218	840
77.9154753952	35.742773621	860
77.9580248834	35.919298605	880
78.0007647137	36.0958085097	900
78.0436969665	36.272303169	920
78.0868237476	36.4487824147	940
78.1301471886	36.6252460765	960
78.1736694478	36.801693982	980
78.2173927099	36.9781259566	1000
78.2613191873	37.1545418236	1020
78.3054511198	37.3309414039	1040
78.3497907754	37.5073245161	1060
78.3943404508	37.6836909766	1080
78.4391024718	37.8600405995	1100
78.4840791938	38.0363731963	1120
78.5292730022	38.2126885762	1140
78.5746863132	38.3889865459	1160
78.620321574	38.5652669095	1180
78.6661812633	38.7415294685	1200
78.7122678923	38.917774022	1220
78.7585840047	39.0940003662	1240
78.8051321776	39.2702082948	1260
78.8519150217	39.4463975986	1280
78.8989351826	39.6225680657	1300
78.9461953405	39.7987194812	1320
78.96	39.85	1325.82273274
